,,,,,,
Match_ID,Housing,Lifestyle,Personality,User_Style,Recommended_Cat,Why_Match
M011,B (บ้าน),A (เวลาน้อย),B (ซนๆ),บ้านกว้าง งานเยอะ ชอบแมวเท่ ปราดเปรียว,Egyptian Mau,มีสัญชาตญาณนักล่าและรักการสำรวจ ชอบใช้พื้นที่บ้านวิ่งเล่นและหาความสนุกได้ด้วยตัวเองแม้เจ้าของไม่อยู่
M012,B (บ้าน),A (เวลาน้อย),C (ติดหนึบ),บ้านกว้าง งานเยอะ อยากได้แมวตัวใหญ่ที่รอรับที่บ้าน,maine coon,มีความอดทนสูงและรอคอยเจ้าของได้เก่ง แม้จะขี้อ้อนแต่ก็ใจเย็นพอที่จะรอรับคุณกลับบ้านด้วยตัวที่ใหญ่และอบอุ่น
M013,B (บ้าน),B (มีเวลา),A (นิ่งๆ),มีบ้าน มีเวลา และชอบแมวผู้ดี รักสงบ,Birman, เป็นแมวที่สุภาพ มีมารยาท ไม่ชอบความวุ่นวาย อ่อนโยน นุ่มนวล สุภาพ และติดเจ้าของมาก ชอบเข้ามาอ้อน
M014,B (บ้าน),B (มีเวลา),B (ซนๆ),มีพื้นที่ให้วิ่ง มีเวลาเล่นด้วย ชอบแมวพลังเยอะ,Bengal,เป็นแมวที่ต้องการพื้นที่วิ่งเล่นและปีนป่ายสูงมาก
M015,B (บ้าน),B (มีเวลา),C (ติดหนึบ),อยู่บ้าน มีเวลาเล่น  อยากได้เพื่อนคุย,Siamese,เป็นแมวที่ต้องการปฏิสัมพันธ์สูงมาก ชอบเดินตามและชวนเจ้าของคุยตลอดเวลา เหมาะกับคนที่มีเวลาให้ความรักแบบเต็มร้อย
M016,B (บ้าน),C (WFH),A (นิ่งๆ),บ้านกว้าง อยู่ติดบ้าน ชอบความสงบและเจ้าระเบียบ,Russian Blue,ป็นแมวที่ฉลาดและสุภาพมาก น้องจะคอยเฝ้าดูคุณทำงานอยู่ห่างๆ อย่างสงบ ไม่รบกวนสมาธิ แต่ก็ชอบเดินสำรวจบ้านกว้างๆ อย่างอิสระ
M017,B (บ้าน),C (WFH),B (ซนๆ),บ้านกว้าง อยู่ติดบ้าน ชอบแมวฉลาดขี้สงสัย มีสีสัน,Abyssinian,"เป็นแมวที่ ""ขี้สงสัย"" ที่สุด น้องจะเดินตรวจงานคุณทุกซอกทุกมุมในบ้าน และชอบใช้พื้นที่กว้างในการปีนป่ายพื่อแก้เหงาตอนคุณนั่งทำงาน"
M018,B (บ้าน),C (WFH),C (ติดหนึบ),บ้านกว้าง อยู่ติดบ้าน อยากได้แมวมาเติมเต็มความรัก,Ragdoll,เป็นแมวที่ตัวใหญ่นุ่มนิ่มและอ่อนโยนที่สุด น้องจะเดินตามคุณไปทุกห้องในบ้าน และพร้อมจะกระโดดขึ้นตักทันทีที่คุณนั่งลงทำงาน
M019,C (บ้านสวน),A (เวลาน้อย),A (นิ่งๆ),พื้นที่กว้าง งานยุ่ง อยากได้แมวสตรองที่ไม่จุกจิก,British Shorthair,เป็นแมวที่กระดูกแข็งแรงและพึ่งพาตัวเองได้สูงมาก น้องนิ่งและสุขุมพอที่จะเฝ้าบ้านสวนได้โดยไม่ตื่นตระหนก และดูแลตัวเองได้ดีเวลาคุณไม่อยู่
M020,C (บ้านสวน),A (เวลาน้อย),B (ซนๆ),พื้นที่กว้าง งานยุ่ง ชอบแมวปราดเปรียวเหมือนนักล่า,Egyptian Mau,แมวที่วิ่งเร็วที่สุดในโลก (ในบรรดาแมวบ้าน) สัญชาตญาณนักล่าสูงมาก เหมาะกับบ้านสวนที่มีพื้นที่ให้วิ่งเล่น น้องจะสนุกกับการสำรวจและพิทักษ์สวนของคุณ
M021,C (บ้านสวน),A (เวลาน้อย),C (ติดหนึบ),พื้นที่กว้าง งานยุ่ง อยากได้แมวตัวใหญ่ที่แข็งแรงและรักเจ้าของ,Maine Coon,"ด้วยขนาดตัวที่ใหญ่และขนที่หนา น้องเหมาะกับสภาพแวดล้อมที่หลากหลาย แม้จะขี้อ้อนแต่ก็มีความเป็นนักล่าในตัวสูง เป็นแมว ""บอดี้การ์ด"" ประจำสวนได้ดีมาก"
M022,C (บ้านสวน),B (มีเวลา),A (นิ่งๆ),ชอบแมวสวยงามที่อยู่ร่วมกับธรรมชาติแบบสงบๆ,Persian,รักความนิ่งแต่ต้องการการดูแลขนสูงมาก พื้นที่สวนที่สะอาดและปลอดภัยจะทำให้แมวดูสง่างามเหมือนเจ้าหญิงในวัง
M023,C (บ้านสวน),B (มีเวลา),B (ซนๆ),ชอบแมวพลังล้นที่พร้อมบุกป่าฝ่าดงไปกับคุณ,Bengal,รักการปีนป่ายและสำรวจสวน การที่คุณมีเวลาเล่นด้วยจะช่วยระบายพลังงานมหาศาลของแมวได้ดีที่สุด
M024,C (บ้านสวน),B (มีเวลา),C (ติดหนึบ),ยากมีแมวเดินตามตรวจสวนและชวนคุยตลอดเวลา,Siamese,ฉลาดและติดเจ้าของมากชอบเดินตามคุณไปทุกที่ในสวน และจะคอยส่งเสียงบอกคุณว่าเจออะไรแปลกใหม่ในพงหญ้าบ้าง
M025,C (บ้านสวน),C (WFH),A (นิ่งๆ),อบความเงียบสงบและแมวที่พึ่งพาตนเองได้,Russian Blue,รักความสะอาดและความเงียบ จะคอยเฝ้าดูคุณทำงานริมหน้าต่างที่มองเห็นสวนได้อย่างมีความสุขโดยไม่รบกวนงาน
M026,C (บ้านสวน),C (WFH),B (ซนๆ),ชอบแมวที่ชอบสำรวจและสร้างความตื่นเต้นให้วันทำงาน,Abyssinian,ฉลาด ร่าเริง ชอบปีนป่ายและกระโดด และค่อนข้างซน ชอบอยู่ใกล้เจ้าของ
M027,C (บ้านสวน),C (WFH),C (ติดหนึบ),อยากได้แมวตัวนุ่มฟูมานั่งตักท่ามกลางวิวสวน,Ragdoll,อ่อนโยนและติดคนมาก แม้บ้านจะมีสวนกว้างขวาง แต่น้องจะเลือกนอนเฝ้าอยู่แทบเท้าคุณบนโต๊ะทำงานมากกว่าออกไปไหนไกล
